 F_3_Z_8: Lights Power, F_3_Z_8: Equipment Power, F_3_Z_8: Thermostat Temp, F_3_Z_8: Thermostat Heating Setpoint, F_3_Z_8: Thermostat Cooling Setpoint, F_3_Z_8 VAV REHEAT Damper Position, F_3_Z_8 REHEAT COIL Power, F_3_Z_8 RETURN OUTLET CO2 Concentration, F_3_Z_8 SUPPLY INLET Temperature, F_3_Z_8 SUPPLY INLET Mass Flow Rate
0.4201388888888889,0.4201388888888889,0.6733488425925925,0.675925925925926,0.33179012345679015,0.28664449792304053,0.0,0.4325995579147532,0.5686925400577897,0.2866377682079178
0.4236111111111111,0.4236111111111111,0.6650456486446811,0.675925925925926,0.33179012345679015,0.3011461144250343,0.0,0.4337368150667291,0.5973857923922002,0.30115910507142174
0.4131944444444444,0.4131944444444444,0.7441795895388729,0.675925925925926,0.33179012345679015,0.24608818243787567,0.0,0.4112628048355702,0.518459482306993,0.24606409592822637
0.3958333333333333,0.3958333333333333,0.8032273402756986,0.5739087301587303,0.25192901234567905,0.44177777777777777,0.22991746987737527,0.40412819924418614,0.23302106448494986,0.44177019179391996
0.0,0.0,0.5821078431363402,0.0,0.0,0.0,0.7040170501251161,0.3219344974705291,0.7038614939401664,0.0
0.0,0.0,0.5876736111111112,0.0,0.0,0.0,0.6368415491042618,0.375550145409679,0.6367742716666862,0.0
0.4375,0.4375,0.8842808450825378,0.6463293650793651,0.1199845679012346,0.40296875000000004,0.2030412029835393,0.40877153920286013,0.22818561658618178,0.40295442082173294
0.4375,0.4375,0.5094609640465007,0.6257403458895996,0.627735541411284,0.3716310763888889,0.019248161069216167,0.49220985322604666,0.11831220438826767,0.37722517506116593
0.4305555555555556,0.4305555555555556,0.54229363346191,0.625,0.625,0.3761158854166667,0.017582220093746208,0.4960273337071512,0.08403034104525019,0.3806727902921905
0.3680555555555556,0.3680555555555556,0.6767443579287155,0.6508133707101597,0.7720355284000905,0.04023090277777777,0.15910997449541567,0.49857625143651696,0.4338672584785644,0.10925855620236788
0.4166666666666667,0.4166666666666667,0.3861013334667909,0.5739087301587303,0.25192901234567905,0.4837651909722223,0.22400460659394433,0.3990682030776802,0.2273467830760693,0.4837567493461571
0.16666666666666666,0.16666666666666666,0.5931372549017561,0.0,0.0,0.0,0.6540518426316081,0.36517529428831197,0.6539526379786924,0.0
0.16666666666666666,0.16666666666666666,0.5644290123446277,0.0,0.0,0.0,0.6258636054100594,0.2898509529113287,0.6258317933826117,0.0
0.3923611111111111,0.3923611111111111,0.8772088333199114,0.6463293650793651,0.1199845679012346,0.4196818576388888,0.20488838221893005,0.4461462079954582,0.222854739933896,0.4196669619505611
